,season,league_name,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
0,2021-2022,Premier-League,Alisson,br BRA,GK,Liverpool,29-043,1992,10.0,10.0,900.0,10.0,11.0,1.1,33.0,22.0,66.7,5.0,4.0,1.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.8,0.27,-1.2,-0.12,55.0,95.0,57.9,290.0,53.0,23.4,30.6,56.0,48.2,40.9,85.0,9.0,10.6,13.0,1.3,16.6
1,2021-2022,Premier-League,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-042,1994,1.0,1.0,90.0,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.18,0.4,0.36,6.0,8.0,75.0,26.0,6.0,30.8,30.0,4.0,0.0,9.3,8.0,1.0,12.5,1.0,1.0,18.0
2,2021-2022,Premier-League,Daniel Bachmann,at AUT,GK,Watford,27-128,1994,4.0,4.0,360.0,4.0,7.0,1.75,17.0,12.0,64.7,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.8,0.28,-0.2,-0.05,19.0,45.0,42.2,95.0,27.0,34.7,35.4,35.0,34.3,36.2,38.0,2.0,5.3,1.0,0.25,12.2
3,2021-2022,Premier-League,Asmir Begović,ba BIH,GK,Everton,34-147,1987,1.0,1.0,90.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.31,-1.1,-1.08,5.0,16.0,31.3,11.0,2.0,72.7,50.5,12.0,66.7,49.6,5.0,1.0,20.0,0.0,0.0,15.0
4,2021-2022,Premier-League,Karl Darlow,eng ENG,GK,Newcastle Utd,31-037,1990,7.0,7.0,630.0,7.0,12.0,1.71,34.0,24.0,70.6,0.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.9,0.24,-2.1,-0.29,67.0,155.0,43.2,170.0,28.0,65.3,49.7,58.0,75.9,58.8,60.0,7.0,11.7,4.0,0.57,15.1
5,2021-2022,Premier-League,Ederson,br BRA,GK,Manchester City,28-089,1993,10.0,10.0,900.0,10.0,6.0,0.6,16.0,11.0,68.8,6.0,2.0,2.0,6.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.24,-1.2,-0.12,38.0,69.0,55.1,248.0,50.0,23.4,29.8,44.0,25.0,33.6,51.0,4.0,7.8,13.0,1.3,17.1
6,2021-2022,Premier-League,Łukasz Fabiański,pl POL,GK,West Ham,36-210,1985,11.0,11.0,990.0,11.0,13.0,1.18,43.0,28.0,69.8,7.0,2.0,2.0,3.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.1,0.29,-0.9,-0.09,67.0,152.0,44.1,195.0,51.0,47.7,40.9,82.0,72.0,53.3,104.0,6.0,5.8,1.0,0.09,11.8
7,2021-2022,Premier-League,Álvaro Fernández,es ESP,GK,Brentford,23-215,1998,2.0,2.0,180.0,2.0,5.0,2.5,9.0,5.0,55.6,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.45,-0.1,-0.04,13.0,32.0,40.6,75.0,11.0,37.3,33.7,11.0,36.4,32.9,14.0,0.0,0.0,3.0,1.5,14.2
8,2021-2022,Premier-League,Ben Foster,eng ENG,GK,Watford,38-225,1983,7.0,7.0,630.0,7.0,12.0,1.71,31.0,19.0,61.3,2.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,2.0,0.0,12.1,0.36,0.1,0.02,67.0,162.0,41.4,174.0,22.0,62.1,49.5,63.0,85.7,63.2,69.0,4.0,5.8,8.0,1.14,17.0
9,2021-2022,Premier-League,David de Gea,es ESP,GK,Manchester Utd,31-007,1990,11.0,11.0,990.0,11.0,17.0,1.55,47.0,31.0,63.8,5.0,2.0,4.0,2.0,18.2,1.0,0.0,1.0,0.0,100.0,0.0,3.0,2.0,17.5,0.37,2.5,0.23,37.0,79.0,46.8,161.0,33.0,25.5,31.0,88.0,43.2,37.7,83.0,4.0,4.8,2.0,0.18,13.3
