,season,league_name,squad,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,2021-2022,Premier-League,Arsenal,26.0,24.8,47.4,11.0,121.0,990.0,11.0,13.0,6.0,13.0,0.0,2.0,18.0,1.0,1.18,0.55,1.73,1.18,1.73,14.3,12.7,8.2,20.9,1.3,0.74,2.04,1.15,1.9,11.0,11.0,990.0,13.0,1.18,47.0,30.0,72.3,6.0,2.0,3.0,5.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.2,0.29,0.2,0.02,67.0,185.0,36.2,289.0,57.0,42.9,37.9,85.0,71.8,54.3,105.0,10.0,9.5,6.0,0.55,14.9,155.0,49.0,31.6,14.09,4.45,0.08,0.27,17.6,7.0,0.09,-1.3,0.3,4048.0,4978.0,81.3,76886.0,24275.0,1676.0,1882.0,89.1,1757.0,2001.0,87.8,530.0,920.0,57.6,-2.2,115.0,288.0,97.0,20.0,304.0,4507.0,471.0,113.0,6.0,698.0,131.0,102.0,57.0,23.0,19.0,7.0,3435.0,628.0,915.0,2013.0,2409.0,175.0,186.0,73.0,19.0,74.0,125.0,100.0,251.0,22.82,174.0,24.0,13.0,17.0,14.0,9.0,17.0,1.55,9.0,2.0,0.0,5.0,1.0,0.0,159.0,94.0,76.0,58.0,25.0,61.0,135.0,45.2,74.0,1369.0,369.0,27.0,432.0,551.0,386.0,198.0,54.0,0.0,144.0,155.0,314.0,229.0,6.0,6298.0,763.0,2176.0,2801.0,1739.0,284.0,5839.0,87.0,167.0,52.1,92.0,3.0,3988.0,21638.0,12443.0,471.0,163.0,51.0,146.0,103.0,4646.0,4048.0,87.1,304.0,0.0,100.0,100.0,21.0,2.0,0.0,0.0,855.0,178.0,193.0,48.0
1,2021-2022,Premier-League,Aston Villa,24.0,26.3,47.2,11.0,121.0,990.0,11.0,13.0,10.0,11.0,2.0,2.0,25.0,1.0,1.18,0.91,2.09,1.0,1.91,11.7,10.3,7.8,18.1,1.06,0.71,1.78,0.94,1.65,11.0,11.0,990.0,20.0,1.82,49.0,30.0,59.2,3.0,1.0,7.0,3.0,27.3,2.0,0.0,1.0,1.0,100.0,1.0,4.0,1.0,14.7,0.29,-4.3,-0.39,74.0,171.0,43.3,284.0,43.0,44.7,39.4,88.0,50.0,42.3,79.0,6.0,7.6,13.0,1.18,16.2,127.0,37.0,29.1,11.55,3.36,0.09,0.3,17.4,5.0,0.08,1.3,0.7,3203.0,4292.0,74.6,68465.0,25387.0,1086.0,1305.0,83.2,1476.0,1734.0,85.1,594.0,1098.0,54.1,2.2,86.0,273.0,94.0,21.0,344.0,3752.0,540.0,156.0,7.0,618.0,170.0,159.0,60.0,40.0,11.0,4.0,2548.0,633.0,1111.0,1497.0,2162.0,218.0,204.0,63.0,15.0,102.0,132.0,114.0,185.0,16.82,125.0,22.0,14.0,9.0,13.0,2.0,23.0,2.09,14.0,3.0,3.0,2.0,1.0,0.0,165.0,99.0,75.0,68.0,22.0,52.0,152.0,34.2,100.0,1427.0,401.0,28.1,426.0,640.0,361.0,169.0,55.0,1.0,114.0,175.0,340.0,201.0,2.0,5546.0,697.0,1881.0,2461.0,1522.0,271.0,5021.0,88.0,154.0,57.1,93.0,6.0,3195.0,15875.0,8534.0,335.0,105.0,35.0,143.0,109.0,3952.0,3203.0,81.0,344.0,0.0,118.0,146.0,16.0,1.0,2.0,1.0,904.0,208.0,213.0,49.4
2,2021-2022,Premier-League,Brentford,22.0,25.9,46.2,11.0,121.0,990.0,11.0,13.0,7.0,12.0,1.0,1.0,20.0,1.0,1.18,0.64,1.82,1.09,1.73,15.2,14.4,9.9,24.3,1.38,0.9,2.28,1.31,2.21,11.0,11.0,990.0,14.0,1.27,38.0,25.0,65.8,3.0,3.0,5.0,3.0,27.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.2,0.33,-0.8,-0.07,96.0,253.0,37.9,411.0,56.0,47.2,40.3,88.0,67.0,50.3,88.0,9.0,10.2,16.0,1.45,15.4,134.0,41.0,30.6,12.18,3.73,0.09,0.29,14.6,3.0,0.11,-2.2,-2.4,3334.0,4611.0,72.3,66537.0,25548.0,1335.0,1598.0,83.5,1434.0,1788.0,80.2,507.0,1027.0,49.4,-2.9,90.0,253.0,84.0,27.0,305.0,4089.0,522.0,135.0,8.0,706.0,117.0,128.0,41.0,28.0,7.0,1.0,2612.0,712.0,1287.0,1328.0,2437.0,315.0,232.0,90.0,20.0,95.0,167.0,135.0,196.0,17.82,132.0,25.0,11.0,16.0,9.0,3.0,16.0,1.45,10.0,1.0,0.0,4.0,1.0,0.0,214.0,131.0,95.0,86.0,33.0,75.0,172.0,43.6,97.0,1665.0,486.0,29.2,571.0,722.0,372.0,164.0,26.0,2.0,138.0,163.0,377.0,254.0,3.0,5899.0,833.0,2271.0,2517.0,1407.0,255.0,5392.0,69.0,124.0,55.6,73.0,8.0,3195.0,15845.0,8518.0,310.0,85.0,26.0,129.0,111.0,4354.0,3334.0,76.6,305.0,1.0,120.0,111.0,22.0,1.0,1.0,0.0,1034.0,259.0,244.0,51.5
3,2021-2022,Premier-League,Brighton,21.0,27.3,55.8,11.0,121.0,990.0,11.0,12.0,9.0,9.0,3.0,3.0,28.0,1.0,1.09,0.82,1.91,0.82,1.64,12.3,10.1,8.1,18.2,1.12,0.74,1.86,0.92,1.65,11.0,11.0,989.0,12.0,1.09,36.0,26.0,72.2,4.0,5.0,2.0,4.0,36.4,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,10.9,0.25,-1.1,-0.1,70.0,201.0,34.8,447.0,56.0,34.2,36.3,70.0,68.6,54.9,94.0,16.0,17.0,13.0,1.18,15.4,128.0,40.0,31.3,11.64,3.64,0.07,0.23,16.8,5.0,0.08,-0.3,-1.1,5092.0,6162.0,82.6,99970.0,29824.0,1966.0,2185.0,90.0,2330.0,2619.0,89.0,706.0,1125.0,62.8,0.9,100.0,294.0,93.0,16.0,333.0,5711.0,451.0,91.0,7.0,814.0,171.0,112.0,55.0,16.0,29.0,1.0,4449.0,699.0,1014.0,1431.0,4132.0,189.0,210.0,83.0,14.0,94.0,163.0,153.0,216.0,19.64,155.0,23.0,13.0,10.0,12.0,3.0,20.0,1.82,12.0,2.0,1.0,1.0,4.0,0.0,225.0,136.0,111.0,81.0,33.0,72.0,157.0,45.9,85.0,1687.0,520.0,30.8,591.0,658.0,438.0,196.0,42.0,1.0,154.0,145.0,370.0,212.0,1.0,7432.0,920.0,2881.0,3061.0,1903.0,277.0,6986.0,79.0,137.0,57.7,86.0,2.0,4845.0,22994.0,11834.0,458.0,135.0,44.0,119.0,129.0,5934.0,5092.0,85.8,333.0,0.0,108.0,85.0,16.0,2.0,2.0,0.0,886.0,158.0,166.0,48.8
4,2021-2022,Premier-League,Burnley,18.0,29.1,38.7,11.0,121.0,990.0,11.0,10.0,9.0,10.0,0.0,0.0,26.0,0.0,0.91,0.82,1.73,0.91,1.73,12.3,12.3,9.3,21.6,1.12,0.85,1.97,1.12,1.97,11.0,11.0,990.0,17.0,1.55,48.0,31.0,64.6,1.0,5.0,5.0,1.0,9.1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.3,0.3,-2.7,-0.25,99.0,254.0,39.0,236.0,43.0,72.9,54.3,90.0,91.1,66.5,111.0,14.0,12.6,16.0,1.45,16.5,123.0,37.0,30.1,11.18,3.36,0.08,0.27,16.1,4.0,0.1,-2.3,-2.3,2774.0,4047.0,68.5,59190.0,24698.0,1165.0,1416.0,82.3,998.0,1287.0,77.5,566.0,1168.0,48.5,-0.3,87.0,253.0,84.0,34.0,263.0,3548.0,499.0,95.0,10.0,774.0,134.0,154.0,52.0,48.0,0.0,1.0,1914.0,716.0,1417.0,1287.0,1956.0,278.0,234.0,69.0,32.0,91.0,108.0,136.0,181.0,16.45,136.0,18.0,3.0,12.0,9.0,3.0,16.0,1.45,13.0,2.0,0.0,1.0,0.0,0.0,180.0,105.0,82.0,71.0,27.0,64.0,154.0,41.6,90.0,1439.0,411.0,28.6,451.0,619.0,369.0,215.0,75.0,5.0,140.0,169.0,349.0,239.0,5.0,5281.0,700.0,1685.0,2298.0,1531.0,208.0,4792.0,69.0,129.0,53.5,76.0,2.0,2725.0,13580.0,6339.0,265.0,94.0,15.0,122.0,96.0,3719.0,2774.0,74.6,263.0,0.0,103.0,82.0,33.0,0.0,0.0,0.0,1008.0,284.0,255.0,52.7
5,2021-2022,Premier-League,Chelsea,25.0,27.6,58.4,11.0,121.0,990.0,11.0,26.0,17.0,24.0,2.0,2.0,12.0,1.0,2.36,1.55,3.91,2.18,3.73,19.4,18.1,14.5,32.6,1.76,1.32,3.08,1.64,2.96,11.0,11.0,990.0,4.0,0.36,31.0,28.0,93.5,8.0,2.0,1.0,7.0,63.6,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.9,0.17,2.9,0.27,38.0,87.0,43.7,259.0,39.0,26.3,29.5,67.0,28.4,27.6,91.0,9.0,9.9,5.0,0.45,14.6,167.0,57.0,34.1,15.18,5.18,0.14,0.42,16.9,8.0,0.11,6.6,5.9,5601.0,6543.0,85.6,102080.0,31612.0,2432.0,2637.0,92.2,2425.0,2713.0,89.4,632.0,957.0,66.0,2.5,124.0,376.0,135.0,14.0,428.0,6067.0,476.0,130.0,21.0,916.0,107.0,135.0,68.0,35.0,14.0,3.0,4945.0,772.0,826.0,1366.0,4614.0,187.0,195.0,63.0,19.0,57.0,162.0,125.0,286.0,26.0,218.0,16.0,19.0,17.0,11.0,5.0,43.0,3.91,31.0,2.0,2.0,4.0,3.0,1.0,195.0,115.0,96.0,72.0,27.0,61.0,177.0,34.5,116.0,1535.0,470.0,30.6,516.0,640.0,379.0,183.0,44.0,3.0,139.0,146.0,341.0,274.0,2.0,7895.0,806.0,2571.0,3551.0,2261.0,339.0,7428.0,108.0,176.0,61.4,114.0,5.0,5230.0,25655.0,14185.0,608.0,191.0,69.0,119.0,124.0,6331.0,5601.0,88.5,428.0,0.0,112.0,118.0,19.0,1.0,1.0,0.0,854.0,190.0,164.0,53.7
6,2021-2022,Premier-League,Crystal Palace,19.0,28.0,51.4,11.0,121.0,990.0,11.0,15.0,9.0,13.0,2.0,2.0,19.0,0.0,1.36,0.82,2.18,1.18,2.0,13.3,11.8,9.4,21.2,1.21,0.86,2.06,1.07,1.92,11.0,11.0,990.0,14.0,1.27,45.0,31.0,68.9,3.0,6.0,2.0,4.0,36.4,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,10.9,0.25,-3.1,-0.28,56.0,129.0,43.4,275.0,58.0,32.7,32.6,71.0,54.9,39.9,82.0,6.0,7.3,5.0,0.45,13.0,121.0,35.0,28.9,11.0,3.18,0.11,0.37,15.6,3.0,0.1,1.7,1.2,4510.0,5533.0,81.5,86348.0,26898.0,1812.0,2020.0,89.7,2026.0,2321.0,87.3,587.0,999.0,58.8,-0.4,86.0,264.0,82.0,24.0,311.0,5026.0,507.0,132.0,7.0,749.0,139.0,118.0,39.0,15.0,13.0,6.0,3762.0,720.0,1051.0,1179.0,3655.0,216.0,240.0,90.0,21.0,92.0,176.0,98.0,189.0,17.18,129.0,17.0,11.0,13.0,11.0,8.0,22.0,2.0,17.0,0.0,2.0,1.0,1.0,1.0,206.0,120.0,111.0,78.0,17.0,73.0,165.0,44.2,92.0,1801.0,503.0,27.9,604.0,802.0,395.0,180.0,42.0,0.0,138.0,152.0,358.0,265.0,3.0,6965.0,865.0,2522.0,3234.0,1611.0,259.0,6468.0,104.0,192.0,54.2,111.0,7.0,4533.0,22430.0,11458.0,408.0,138.0,47.0,165.0,174.0,5244.0,4510.0,86.0,311.0,0.0,123.0,119.0,21.0,1.0,0.0,0.0,942.0,211.0,169.0,55.5
7,2021-2022,Premier-League,Everton,24.0,27.9,41.4,11.0,121.0,990.0,11.0,16.0,13.0,13.0,3.0,3.0,20.0,1.0,1.45,1.18,2.64,1.18,2.36,16.3,14.0,10.9,24.9,1.48,0.99,2.47,1.28,2.26,11.0,11.0,990.0,16.0,1.45,42.0,27.0,61.9,4.0,3.0,4.0,3.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,13.3,0.32,-1.7,-0.16,64.0,220.0,29.1,233.0,38.0,64.8,49.9,90.0,76.7,62.5,98.0,8.0,8.2,6.0,0.55,13.4,146.0,42.0,28.8,13.27,3.82,0.09,0.31,16.5,3.0,0.1,-0.3,-1.0,3131.0,4221.0,74.2,63079.0,23344.0,1209.0,1426.0,84.8,1317.0,1603.0,82.2,504.0,954.0,52.8,2.1,115.0,251.0,93.0,30.0,319.0,3713.0,508.0,107.0,7.0,734.0,137.0,128.0,48.0,19.0,21.0,2.0,2485.0,611.0,1125.0,1200.0,2378.0,219.0,234.0,62.0,11.0,120.0,144.0,145.0,238.0,21.64,181.0,22.0,7.0,11.0,14.0,3.0,27.0,2.45,21.0,0.0,2.0,1.0,3.0,0.0,221.0,133.0,120.0,71.0,30.0,90.0,221.0,40.7,131.0,1762.0,538.0,30.5,655.0,728.0,379.0,208.0,49.0,0.0,159.0,181.0,402.0,270.0,3.0,5648.0,698.0,1998.0,2353.0,1631.0,275.0,5157.0,81.0,157.0,51.6,86.0,6.0,3220.0,18163.0,9708.0,383.0,130.0,46.0,136.0,112.0,3911.0,3131.0,80.1,319.0,0.0,102.0,99.0,11.0,3.0,0.0,1.0,934.0,191.0,223.0,46.1
8,2021-2022,Premier-League,Leeds United,23.0,26.5,58.4,11.0,121.0,990.0,11.0,11.0,7.0,10.0,1.0,1.0,24.0,1.0,1.0,0.64,1.64,0.91,1.55,14.4,13.6,10.2,23.9,1.31,0.93,2.24,1.24,2.17,11.0,11.0,990.0,18.0,1.64,54.0,37.0,68.5,2.0,5.0,4.0,1.0,9.1,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,16.4,0.29,-0.6,-0.06,48.0,127.0,37.8,340.0,80.0,28.5,29.6,97.0,30.9,32.1,57.0,8.0,14.0,14.0,1.27,16.0,157.0,43.0,27.4,14.27,3.91,0.06,0.23,18.4,2.0,0.09,-3.4,-3.6,4448.0,5527.0,80.5,88747.0,28649.0,1684.0,1918.0,87.8,2046.0,2307.0,88.7,652.0,1103.0,59.1,-3.2,115.0,320.0,93.0,22.0,404.0,4992.0,535.0,134.0,12.0,706.0,165.0,143.0,52.0,37.0,8.0,1.0,3673.0,847.0,1007.0,2445.0,2480.0,202.0,223.0,106.0,12.0,102.0,177.0,129.0,228.0,20.73,159.0,24.0,10.0,15.0,13.0,7.0,19.0,1.73,11.0,1.0,3.0,1.0,2.0,1.0,216.0,127.0,117.0,71.0,28.0,85.0,183.0,46.4,98.0,1776.0,547.0,30.8,594.0,759.0,423.0,165.0,46.0,1.0,119.0,169.0,385.0,250.0,7.0,6934.0,860.0,2729.0,2947.0,1699.0,290.0,6419.0,98.0,194.0,50.5,107.0,13.0,4475.0,24736.0,13750.0,458.0,120.0,55.0,147.0,140.0,5208.0,4448.0,85.4,404.0,0.0,128.0,115.0,14.0,1.0,1.0,1.0,946.0,159.0,182.0,46.6
9,2021-2022,Premier-League,Leicester City,22.0,27.5,51.8,11.0,121.0,990.0,11.0,16.0,12.0,16.0,0.0,0.0,14.0,1.0,1.45,1.09,2.55,1.45,2.55,16.5,16.5,9.6,26.2,1.5,0.87,2.38,1.5,2.38,11.0,11.0,990.0,18.0,1.64,52.0,37.0,69.2,4.0,3.0,4.0,1.0,9.1,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,0.23,-4.0,-0.36,73.0,195.0,37.4,334.0,54.0,44.6,38.9,105.0,43.8,39.4,103.0,9.0,8.7,6.0,0.55,12.8,133.0,49.0,36.8,12.09,4.45,0.12,0.33,16.8,3.0,0.13,-0.5,-0.5,4502.0,5549.0,81.1,85847.0,27616.0,1749.0,1983.0,88.2,2130.0,2370.0,89.9,534.0,984.0,54.3,2.4,89.0,255.0,79.0,8.0,367.0,5005.0,544.0,146.0,9.0,815.0,131.0,88.0,57.0,23.0,23.0,4.0,3953.0,658.0,938.0,1217.0,3736.0,199.0,207.0,71.0,15.0,101.0,180.0,127.0,199.0,18.09,155.0,9.0,10.0,10.0,8.0,7.0,23.0,2.09,15.0,0.0,2.0,2.0,1.0,3.0,214.0,119.0,98.0,94.0,22.0,87.0,195.0,44.6,108.0,1704.0,495.0,29.0,606.0,764.0,334.0,176.0,49.0,0.0,127.0,171.0,385.0,270.0,4.0,6895.0,912.0,2602.0,3248.0,1417.0,254.0,6368.0,78.0,157.0,49.7,88.0,6.0,4442.0,20309.0,10804.0,415.0,122.0,48.0,140.0,116.0,5343.0,4502.0,84.3,367.0,0.0,83.0,117.0,20.0,0.0,2.0,1.0,842.0,174.0,170.0,50.6
